doc_id,text
DOC_00018,": While not exactly a service incident, I had a similar experience recently : when I bought a new truck. : I had picked out the vehicle I wanted and after a little haggling we : agreed on a price. I wrote them a check for the down payment plus tax : and license and told them I'd be back that evening to pick up the truck. : When I returned, I had to wait about an hour before the finance guy could : get to me. When I finally got in there, everything went smoothly until he : started adding up the numbers. He then discovered that they had : miscalculated the tax & license by about $150. He then said he needed : another $150 from me. I said we had already agreed on a price and it was : their problem, I wasn't giving them any more money. The finance guy then A similar thing happend to me a year ago. I bought a used Ford Bronco (which has since been stolen... :( ) and few weeks after I paid and took delivery, they sent a letter telling me they goofed and miscalculated the license renewal by $300 and that I need to send in a check to ""avoid further delay"" in the processing of my registration. The thing is, I had already received the pink slip from the DMV, so I ignored it. I received another letter and then the phone calls started coming. First from the finance guy and then from the general manager, both hounding me for the extra money. They left me alone once I told them I already had the paperwork and pointed out the clause in the contract that stated that the final price was just that: FINAL. Afterall, they wouldn't budge if I had told them I wanted another $300 off after the deal had been signed, right? I told them not to call again and that I would not do business with them in the future. They didn't seem to have a problem with that. This, after all, was a used Ford at a Toyota dealership. I had a much better experience buying a new Pathfinder about a month ago. It certainly pays to buy a car on the last Sunday of the month. It was even raining too, so they had done very little business that weekend and were really willing to deal. I kept telling them I would think about it, and they kept dropping the price. Got a very good deal and so far have been very please with the service."
DOC_00019,"The supersonic booms hear a few months ago over I belive San Fran, heading east of what I heard, some new super speed Mach 25 aircraft?? What military based int he direction of flight are there that could handle a Mach 25aircraft on its landing decent?? Odd question??"
DOC_00020,"I am looking for some good quality graphics files which are suitable for use in church-related presentations. I prefer vector, but anything would be helpful. If you know of bulletin boards which have collections of this nature, or commercial products, please inform me by email: HASTON@UTKVX.UTK.EDU"
DOC_00021,"It seems sad that people lose all perspective when they here about a case of violence by teenagers... For a little perspective: How about the thousands of kind teenagers who volunteer at local agencies to help children, seniors, the homeless? Did you read about all the kids at Stanford who spent their spring breaks helping out in inner city areas? What about the hundreds of volunteers ( teenagers and others) who worked to clean up the mess after the Rodney King riots in LA? Have you gone to your local high school play recently? Attended the school orchestra performances? Have you seen how many kids volunteer to pick up trash, plant trees, do walk-a-thons? How many kids have tried to sell you stuff to benefit organizations they belong to? How many girl scout cookies have you bought? How many chocolate bars for good causes? The media picks up on all the anomalies, the sensational... What about the wonderful teenagers all over the place who work hard at school, get good grades, go to college (or to work) and make a real contribution to our society? All humans are teenagers at some time in their lives! Mother Theresa was a teenager and so was Geoffrey Dahmer. It is really sad to see so many people who buy the sensational reporting of the media as some kind of reflection of the world today! It is a reflection of what is happening on the outer fringes of our society and nothing more..."
DOC_00022,"Sayeth ""Joseph D. Mazza"" <mazz+@andrew.cmu.edu>: $I waxed my car a few months ago with a liquid wax and now have whiteish $smears where I inadvertantly got some wax on the black plastic molding. $I've tried repeatedly to remove the smears with no luck. I'm on the $verge of replacing the molding altogether (it's a nice car). Armor All removes Raindance wax on my Mazda Protege's black plastic bumpers. Your mileage may vary. Given this observation, one would be well advised to take care not to get any of this (or, probably, similar protectants such as Son of a Gun) on one's paint ..."
DOC_00023,"I am sorry to once again bother those of you on this newsgroup. If you have any suggestions as to where I might find out about the subject of this letter (the origin of Morphine, ie. who first isolsted it, and why he/she attempted such an experiment). Once agian any suggestion would be appreciated. CSH p.s. My instructer insists that I get 4 rescources from this newsgroup, so please send me and info you think may be helpful. Facts that you know, but don't know what book they're from are ok. ATTENTION: If you do NOT like seeing letters such as this one on your newsgroup direct all complaints to my instructor at <bshayler@eis.CalStat.Edu> -- ""Kilimanjaro is a pretty tricky climb. Most of it's up, until you reach the very, very top, and then it tends to slope away rather sharply."" Sir George Head, OBE (JC)"
DOC_00024,"I'm totally p*-o'd, too! Vancouver-Winnipeg is great west-coast hockey - fast-paced and loads of talent. What I've seen so far is hardly entertaining, with the exception of the odd shift every now & then (of course I missed Calgary-LA & Pitts-Jersey...) Amen... That's cheaper than what I do - PHONE CALLS. (There must be a better system - one ring, Adams to Linden, he SCORES; two rings Bure rushes up the ice, he SCORES, etc etc :-))"
DOC_00025,"Does anyone know of a dead first generation MR2? I need body parts, steering rack, and a few minor pieces. I was about to buy a parts car, but the owner backed out after 3 month of pulling my leg. ARRRRgh. Mike.S"
DOC_00026,"I have the ""osculating elements at perigee"" of an orbit, which I need to convert to something useful, preferably distance from the earth in evenly spaced time intervals. A GSM coordinate system is preferable, but I convert from other systems. C, pascal, or fortran code, or if you can point me to a book or something that'd be great. here's the first few lines of the file. 0 () 1 (2X, A3, 7X, A30) 2 (2X, I5, 2X, A3, 2X, E24.18) 3 (4X, A3, 7X, E24.18) 1 SMA SEMI-MAJOR AXIS 1 ECC ECCENTRICITY 1 INC INCLINATION 1 OMG RA OF ASCENDING NODE 1 POM ARGUMENT OF PERICENTRE 1 TRA TRUE ANOMALY 1 HAP APOCENTRE HEIGHT 1 HPE PERICENTRE HEIGHT 2 3 BEG 0.167290000000000000E+05 3 SMA 0.829159999999995925E+05 3 ECC 0.692307999999998591E+00 3 INC 0.899999999999999858E+02 3 OMG 0.184369999999999994E+03 3 POM 0.336549999999999955E+03 3 TRA 0.359999999999999943E+03 3 HAP 0.133941270127999174E+06 3 HPE 0.191344498719999910E+05 2 1 REF 0.167317532658774153E+05 3 SMA 0.829125167527418671E+05 3 ECC 0.691472268118590319E+00 3 INC 0.899596754214342091E+02 3 OMG 0.184377521828175002E+03 3 POM 0.336683788851850579E+03 3 TRA 0.153847166458030088E-05 3 HAP 0.133866082767180880E+06 3 HPE 0.192026707383028306E+05 Thanks in advance,"
DOC_00027,"Ford tried that also, back in 1983. My 1983 Ranger Pickup had the horn at the end of the turn-signal stalk, instead of in the center of the wheel where God intended it to be. :-) I drove two different cars then (the other an 1984 Camry), and never did get used to pushing the turn-signal stalk to blow the horn. The only time I got it right was when I was getting the annual state-required safety inspection! Not one of Ford's better ideas."
DOC_00028,"I find this method much better myself, too, although I do really hate it when the bolt finally comes loose and the wrench and my hand both come crashing into my face. After coming to, which is about 15 minutes later, I change my clothes (because by this time all the oil has drained *on* me), and ice my entire face and suck down about 20 Tylenol to ease the pain. Later in the day I then proceed with refilling the engine oil. It's just crazy how I try and change the oil on my cars in one weekend---I go through about 3 bottles of Tylenol and 2 bags of ice."
DOC_00029,"The FDA, I believe. Rules say no blood or blood products donations from anyone who has been in a malarial area for 3 years. I was a platelet donor until my Thailand trip and my blood bank was very disappointed to find out they couldn't use me for 3 years. Not necessarily. The same rules may not apply to organ donation as to blood donation. In fact, I'm sure they don't. -- ---------------------------------------------------------------------------- Gordon Banks N3JXP | ""Skepticism is the chastity of the intellect, and geb@cadre.dsl.pitt.edu | it is shameful to surrender it too soon."""
DOC_00030,"Nick Haines sez; Level 5? Out of how many? What are the different levels? I've never heard of this rating system. Anyone care to clue me in? -Tommy Mac ------------------------------------------------------------------------- Tom McWilliams 517-355-2178 wk \\ As the radius of vision increases, 18084tm@ibm.cl.msu.edu 336-9591 hm \\ the circumference of mystery grows."
DOC_00031,"My wife's ob-gyn has an ultrasound machine in her office. When the doctor couldn't hear a fetal heartbeat (13 weeks) she used the ultrasound to see if everything was ok. (it was) On her next visit, my wife asked another doctor in the office if they read the ultrasounds themselves or if they had a radiologist read the pictures. The doctor very vehemently insisted that they were qualified to read the ultrasound and radiologists were NOT! My wife is concerned about this. She saw a TV show a couple months back (something like 20/20 or Dateline NBC, etc.) where an expert on fetal ultrasounds (a radiologist) was showing all the different deffects that could be detected using the ultrasound. Should my wife be concerned? Should we take the pictures to a radiologist for a second opinion? (and if so, where would we find such an expert in Chicago?) We don't really have any special medical reason to be concerned, but if a radiologist will be able to see things the ob-gyn can't, then I don't see why we shouldn't use one. Any thoughts?"
DOC_00032,"[Excellent discussion of DC-X landing techniques by Henry deleted] The DC-X will not take of horizontally. It takes of vertically. For several reasons. Vertical landings don't require miles of runway and limit noise pollution. They don't require wheels or wings. Just turn on the engines and touch down. Of course, as Henry pointed out, vetical landings aren't quite that simple. Well, to be blunt, yes. But at least you're learning. The Soyuz vehicles use parachutes for the descent and then fire small rockets just before they hit the ground. Parachutes are, however, not especially practical if you want to reuse something without much effort. The landings are also not very comfortable. However, in the words of Georgy Grechko, ""I prefer to have bruises, not to sink."""
DOC_00033,": 8~> I require BGI drivers for Super VGA Displays and Super XVGA Displays. Does : 8~> anyone know where I could obtain the relevant drivers ? (FTP sites ??) : I would like to know too! : Regards, : Dominic garbo.uwasa.fi (or one of its many mirrors) has a file called ""svgabg40"" in the programming subdirectory. These are svga bgi drivers for a variety of cards. [from the README]: ""Card types supported: (SuperVGA drivers) Ahead, ATI, Chips & Tech, Everex, Genoa, Paradise, Oak, Trident (both 8800 and 8900, 9000), Tseng (both 3000 and 4000 chipsets) and Video7. These drivers will also work on video cards with VESA capability. The tweaked drivers will work on any register-compatible VGA card."" enjoy, Clark Verbrugge clump@cs.mcgill.ca --"
DOC_00034,Well they don't export anywhere near 50% of their GNP. Mexico's perhaps but not their own. They actually export around the 9-10% mark. Similar to most developed countries actually. Australia exports a larger share of GNP as does the United States (14% I think off hand. Always likely to be out by a factor of 12 or more though) This would be immediately obvious if you thought about it. It is their import routes that count. They can do without exports but they couldn't live without imports for any longer than six months if that. Too true! But one that is unstable and hence a source of serious worry. Joseph Askew
DOC_00035,"I too would like a 3D graphics library! How much do C libraries cost anyway? Can you get the tools used by, say, RenderMan, and can you get them at a reasonable cost? Sorry that I don't have any answers, just questions..."
DOC_00036,"Hello, I purchased my new 486 with a NoName graphics card installed which is obviously Speedstar 24 compatible. Its name is ""VGA 4000 TrueColor"". It is accompanied with some drivers and the utilities VMODE, XMODE and at least one more MODE, as well as some drivers for Lotus, Windows, etc. Only one of the drivers is told to provide the TrueColor mode, namely the Windows 3.1 driver. Nowhere else, except in the ad, is any pointer to the TrueColor mode. Some articles in this group about the Speedstar 24 and some other facts made me believe that my card is compatible to that one. Does anybody out there know how this mode can be adjusted? How can I write a driver which allows me to have 16.7 millions of colors with a resolution of 640 x 480 with 45 Hz interlaced ?"
DOC_00037,": > : >: From a business point of view, it might make sense. It depends on : >: the personality of the practitioner. If he can charm the patients : >: into coming, homeopathy can be very profitable. It won't be covered : >: by insurance, however. Just keep that in mind. Myself, I'd have : >^^^^^^^^^^^^^^^^^^^^^^^ : > : >In many European countries Homepathy is accepted as a method of curing : >(or at least alleiating) many conditions to which modern medicine has : >no answer. In most of these countries insurance pays for the : >treatments. : > : Accepted by whom? Not by scientists. There are people : in every country who waste time and money on quackery. : In Britain and Scandanavia, where I have worked, it was not paid for. : What are ""most of these countries?"" I don't believe you. In Holland insurences pay for Homeopathic treatment. In Germany they do so as well. I Austria they do if you have a condition which can not be helped by ""normal"" medicine (happened to me). Switzerland seems to be the same as Austria (I have direct experience in the Swiss case). At the Univeristy of Vienna (I believe Innsbruck as well) homeopathy can be taken in Med. school. I found that in combination with Acupuncture it changed my life from living hell to a condition which enables me to lead a relatively normal life. I found that modern medicine was powerless to cure me of a *severe* case of Neurodermitis (Note: I mean cure, not surpress the symptoms, which is what modern medicine attempts to do in the case of Neurodermitis). I'm not saying that Homeopathy is scientific, but that it can offer help in areas in which modern medicine is absolutely helpless. From reading your aritcle it seems that your have some deeply rooted beliefs about this issue (this is not intended to be offensive or sarcastic - it just sounded like that to me) which makes me doubt if you can read this with an open mind. If you do/can, please excuse my last comment."
DOC_00038,"Sterrenkundig symposium 'Compacte Objecten' op 26 april 1993 In het jaar 1643, zeven jaar na de oprichting van de Universiteit van Utrecht, benoemde de universiteit haar eerste sterrenkundige waarnemer. Hiermee ontstond de tweede universiteitssterrenwacht ter wereld. Aert Jansz, de eerste waarnemer, en zijn opvolgers voerden de Utrechtse sterrenkunde in de daaropvolgende jaren, decennia en eeuwen naar de voorhoede van het astronomisch onderzoek. Dit jaar is het 350 jaar geleden dat deze historische benoeming plaatsvond. De huidige generatie Utrechtse sterrenkundigen en studenten sterrenkunde, verenigd in het Sterrekundig Instituut Utrecht, vieren de benoeming van hun 'oervader' middels een breed scala aan feestelijke activiteiten. Zo is er voor scholieren een planetenproject, programmeert de Studium Generale een aantal voordrachten met een sterrenkundig thema en wordt op de Dies Natalis aan een astronoom een eredoctoraat uitgereikt. Er staat echter meer op stapel. Studenten natuur- en sterrenkunde kunnen op 26 april aan een sterrenkundesymposium deelnemen. De onderwerpen van het symposium zijn opgebouwd rond een van de zwaartepunten van het huidige Utrechtse onderzoek: het onderzoek aan de zogeheten 'compacte objecten', de eindstadia in de evolutie van sterren. Bij de samenstelling van het programma is getracht de deelnemer een zo aktueel en breed mogelijk beeld te geven van de stand van zaken in het onderzoek aan deze eindstadia. In de eerste, inleidende lezing zal dagvoorzitter prof. Lamers een beknopt overzicht geven van de evolutie van zware sterren, waarna de zeven overige sprekers in lezingen van telkens een half uur nader op de specifieke evolutionaire eindprodukten zullen ingaan. Na afloop van elke lezing is er gelegenheid tot het stellen van vragen. Het dagprogramma staat afgedrukt op een apart vel. Het niveau van de lezingen is afgestemd op tweedejaars studenten natuur- en sterrenkunde. OOK ANDERE BELANGSTELLENDEN ZIJN VAN HARTE WELKOM! Tijdens de lezing van prof. Kuijpers zullen, als alles goed gaat, de veertien radioteleskopen van de Radiosterrenwacht Westerbork worden ingezet om via een directe verbinding tussen het heelal, Westerbork en Utrecht het zwakke radiosignaal van een snel roterende kosmische vuurtoren, een zogeheten pulsar, in de symposiumzaal door te geven en te audiovisualiseren. Prof. Kuijpers zal de binnenkomende signalen (elkaar snel opvolgende scherp gepiekte pulsen radiostraling) bespreken en trachten te verklaren. Het slagen van dit unieke experiment staat en valt met de technische haalbaarheid ervan. De op te vangen signalen zijn namelijk zo zwak, dat pas na een waarnemingsperiode van 10 miljoen jaar genoeg energie is opgevangen om een lamp van 30 Watt een seconde te laten branden! Tijdens het symposium zal er niet zo lang gewacht hoeven te worden: de hedendaagse technologie stelt ons in staat live het heelal te beluisteren. Deelname aan het symposium kost f 4,- (exclusief lunch) en f 16,- (inclusief lunch). Inschrijving geschiedt door het verschuldigde bedrag over te maken op ABN-AMRO rekening 44.46.97.713 t.n.v. stichting 350 JUS. Het gironummer van de ABN-AMRO bank Utrecht is 2900. Bij de inschrijving dient te worden aangegeven of men lid is van de NNV. Na inschrijving wordt de symposiummap toegestuurd. Bij inschrijving na 31 maart vervalt de mogelijkheid een lunch te reserveren. Het symposium vindt plaats in Transitorium I, Universiteit Utrecht. Voor meer informatie over het symposium kan men terecht bij Henrik Spoon, p/a S.R.O.N., Sorbonnelaan 2, 3584 CA Utrecht. Tel.: 030-535722. E-mail: henriks@sron.ruu.nl. ******* DAGPROGRAMMA ************************************** 9:30 ONTVANGST MET KOFFIE & THEE 10:00 Opening Prof. dr. H.J.G.L.M. Lamers (Utrecht) 10:10 Dubbelster evolutie Prof. dr. H.J.G.L.M. Lamers 10:25 Radiopulsars Prof. dr. J.M.E. Kuijpers (Utrecht) 11:00 Pulsars in dubbelster systemen Prof. dr. F. Verbunt (Utrecht) 11:50 Massa & straal van neutronensterren Prof. dr. J. van Paradijs (Amsterdam) 12:25 Theorie van accretieschijven Drs. R.F. van Oss (Utrecht) 13:00 LUNCH 14:00 Hoe zien accretieschijven er werkelijk uit? Dr. R.G.M. Rutten (Amsterdam) 14:35 Snelle fluktuaties bij accretie op neutronensterren en zwarte gaten Dr. M. van der Klis (Amsterdam) 15:10 THEE & KOFFIE 15:30 Zwarte gaten: knippen en plakken met ruimte en tijd Prof. dr. V. Icke (leiden) 16:05 afsluiting 16:25 BORREL"
